BOROBOX,BOX_TYPE,LOCATION,ZIP,BOROUGH,COMMUNITYDISTICT,CITYCOUNCIL,LATITUDE,LONGITUDE,Location Point
X3351,ERS,HOFFMAN ST & E 189 ST,10458,Bronx,BX06,15,40.85782717,-73.88687347,POINT (-73.88687347 40.85782717)
Q5229,ERS,135 AVE & 129 ST,11420,Queens,QN10,28,40.6687226,-73.81080946,POINT (-73.81080946 40.6687226)
X2627,ERS,NEWMAN AVE & COMPTON AVE,10473,Bronx,BX09,18,40.81341214,-73.85512915,POINT (-73.85512915 40.81341214)
Q7812,BARS,37 AVE & 62 ST,11377,Queens,QN02,26,40.74918596,-73.90058192,POINT (-73.90058192 40.74918596)
R0745,BARS,DECKER AVE AND MONTELL ST,10302,Staten Island,SI01,49,40.62819029,-74.13730785,POINT (-74.13730785 40.62819029)
Q9448,ERS,RODMAN ST OPP 57 RD,11355,Queens,QN07,20,40.7469027,-73.83469043,POINT (-73.83469043 40.7469027)
M1223,ERS,3 AVE & E 94 ST,10128,Manhattan,MN08,5,40.78389047,-73.95028255,POINT (-73.95028255 40.78389047)
X3802,ERS,LOWERRE PL & E 228 ST,10466,Bronx,BX12,12,40.89024354,-73.86029798,POINT (-73.86029798 40.89024354)
B0251,ERS,BROADWAY OPP MIDDLETON ST,11206,Brooklyn,BK01,33,40.70456507,-73.94866499,POINT (-73.94866499 40.70456507)
M1757,ERS,CABRINI BLVD & W 187 ST,10033,Manhattan,MN12,10,40.85556955,-73.93795333,POINT (-73.93795333 40.85556955)
R4512,ERS,ELLIS ST OPP WOOD AVE,10307,Staten Island,SI03,51,40.51529983,-74.24640795,POINT (-74.24640795 40.51529983)
M1807,ERS,BENNETT AVE AND 190TH ST,10040,Manhattan,MN12,10,40.8567818,-73.93368112,POINT (-73.93368112 40.8567818)
R0060,BARS,JERSEY ST 600' N OF CRESCENT AVE,10301,Staten Island,SI01,49,40.64390859,-74.08674287,POINT (-74.08674287 40.64390859)
R1741,BARS,UXBRIDGE ST & FOREST HILL RD,10314,Staten Island,SI02,50,40.60214193,-74.14034663,POINT (-74.14034663 40.60214193)
R4528,ERS,CRAIG AVE & NASHVILLE ST,10307,Staten Island,SI03,51,40.5151202,-74.2402478,POINT (-74.2402478 40.5151202)
Q1629,ERS,CROSS BAY BLVD 4618' S OF N CHANNEL BRDG,11693,Queens,GNRA,31,40.63150078,-73.82855882,POINT (-73.82855882 40.63150078)
M1324,ERS,RIVERSIDE DR & W 109 ST,10025,Manhattan,MN07,6,40.80420632,-73.9686467,POINT (-73.9686467 40.80420632)
Q7479,BARS,31 AVE & 47 ST,11103,Queens,QN01,26,40.75869294,-73.91148964,POINT (-73.91148964 40.75869294)
Q5455,BARS,HILLSIDE AVE & HOLLIS COURT BLVD,11427,Queens,QN08,23,40.72415965,-73.7549692,POINT (-73.7549692 40.72415965)
Q7863,BARS,34 AVE & 87 ST,11372,Queens,QN03,25,40.75421973,-73.88038762,POINT (-73.88038762 40.75421973)
X2220,ERS,EXTERIOR ST & E 149 ST,10451,Bronx,BX04,8,40.81949721,-73.9305356,POINT (-73.9305356 40.81949721)
Q2152,ERS,PLATTWOOD AVE & 98 ST,11417,Queens,QN10,32,40.67711261,-73.83948163,POINT (-73.83948163 40.67711261)
B3830,ERS,DWIGHT ST 225' S OF VERONA ST,11231,Brooklyn,BK06,38,40.67719202,-74.00753121,POINT (-74.00753121 40.67719202)
X4062,ERS,LOGAN AVE & GERBER PL,10465,Bronx,BX10,13,40.82019535,-73.81632521,POINT (-73.81632521 40.82019535)
Q5366,BARS,LINDEN BLVD & 193 ST,11412,Queens,QN12,27,40.69270577,-73.75856471,POINT (-73.75856471 40.69270577)
B0565,ERS,LIVINGSTON & BOND ST,11201,Brooklyn,BK02,33,40.68882806,-73.98343549,POINT (-73.98343549 40.68882806)
M1470,ERS,MORNINGSIDE AVE & W 124 ST,10027,Manhattan,MN09,9,40.8106866,-73.9545123,POINT (-73.9545123 40.8106866)
Q5925,ERS,149 AVE & EDGEWOOD ST,11422,Queens,QN13,31,40.65254499,-73.74016701,POINT (-73.74016701 40.65254499)
B1585,ERS,CLARKSON AVE & E 38 ST,11203,Brooklyn,BK17,40,40.65588481,-73.94240148,POINT (-73.94240148 40.65588481)
R0406,BARS,OSGOOD AVE & STAGE LANE,10304,Staten Island,SI01,49,40.615461,-74.07819447,POINT (-74.07819447 40.615461)
Q8962,ERS,150 AVE & 130 ST,11420,Queens,QN10,28,40.66492406,-73.81099102,POINT (-73.81099102 40.66492406)
B1956,ERS,WORTMAN AVE & ELTON ST,11208,Brooklyn,BK05,42,40.66040197,-73.87690966,POINT (-73.87690966 40.66040197)
Q1992,ERS,DILLON ST & CLAUDE AVE,11433,Queens,QN12,28,40.69038598,-73.78907338,POINT (-73.78907338 40.69038598)
Q9613,ERS,PARK LA S & 104 ST,11418,Queens,,32,40.69935938,-73.84502473,POINT (-73.84502473 40.69935938)
M1398,ERS,MADISON AVE & E 117 ST,10035,Manhattan,MN11,8,40.8006635,-73.94435366,POINT (-73.94435366 40.8006635)
X2381,ERS,3 AVE & E 163 ST,10456,Bronx,BX03,16,40.82406664,-73.90870859,POINT (-73.90870859 40.82406664)
Q4408,BARS,POPLAR AVE & ROBINSON ST,11355,Queens,QN07,20,40.74834484,-73.81351862,POINT (-73.81351862 40.74834484)
Q8877,BARS,FOCH BLVD & 144 ST,11436,Queens,QN12,28,40.67936246,-73.79729805,POINT (-73.79729805 40.67936246)
M1342,ERS,W 111 ST & LENOX AVE/MALCOLM X BLVD,10026,Manhattan,MN10,9,40.79883253,-73.95201558,POINT (-73.95201558 40.79883253)
Q7724,BARS,HAZEN ST & 20 AVE,11370,Queens,QN01,22,40.77190403,-73.89522025,POINT (-73.89522025 40.77190403)
B2523,ERS,PARKVILLE AVE & 47 ST,11204,Brooklyn,BK12,44,40.62797762,-73.97752404,POINT (-73.97752404 40.62797762)
M1063,ERS,1 AVE & 76 ST,10021,Manhattan,MN08,5,40.77038908,-73.95411245,POINT (-73.95411245 40.77038908)
R4837,ERS,SPRAGUE AVE & GEORGE ST,10307,Staten Island,SI03,51,40.50688845,-74.23862565,POINT (-74.23862565 40.50688845)
B3473,ERS,CROPSEY AVE & BAY 32 ST,11214,Brooklyn,BK11,47,40.59618337,-73.99738547,POINT (-73.99738547 40.59618337)
Q5281,BARS,93 AVE & 204 ST,11423,Queens,QN12,23,40.7155648,-73.75758218,POINT (-73.75758218 40.7155648)
Q9228,BARS,44 AVE & JUNCTION BLVD,11373,Queens,QN04,25,40.74493372,-73.86790964,POINT (-73.86790964 40.74493372)
X4263,ERS,BRUCKNER BLVD S/B & MIDDLETOWN RD,10461,Bronx,BX10,13,40.84517179,-73.82621468,POINT (-73.82621468 40.84517179)
Q3728,BARS,188 ST & HARDING XWAY S,11365,Queens,QN08,23,40.74048295,-73.78670501,POINT (-73.78670501 40.74048295)
Q3859,BARS,57 AVE & 223 ST,11364,Queens,QN11,23,40.75248435,-73.75609651,POINT (-73.75609651 40.75248435)
R8730,ERS,W SHORE XWAY S/B 800' S OF FRESH KILLS,10309,Staten Island,SI03,51,40.56031435,-74.19997836,POINT (-74.19997836 40.56031435)
M1199,ERS,CENTRAL PARK W & W 91 ST,10024,Manhattan,MN07,6,40.78847679,-73.96700977,POINT (-73.96700977 40.78847679)
R8702,ERS,W SHORE XWAY S/B ENT RAMP FR E/B SI XWAY,10314,Staten Island,SI02,50,40.6240503,-74.17718853,POINT (-74.17718853 40.6240503)
B1818,ERS,NORWOOD AVE & FULTON ST,11208,Brooklyn,BK05,37,40.68167503,-73.87912598,POINT (-73.87912598 40.68167503)
X3192,ERS,GRAND AVE & W 183 ST,10453,Bronx,BX07,14,40.85899299,-73.90572262,POINT (-73.90572262 40.85899299)
Q5438,BARS,99 AVE & 100 AVE,11429,Queens,QN13,27,40.71533094,-73.7402811,POINT (-73.7402811 40.71533094)
B3764,ERS,REEVE PL & PROSPECT PARK SW,11215,Brooklyn,,39,40.65391251,-73.97305104,POINT (-73.97305104 40.65391251)
